,Temperature,Fuel_propane_mole_frac,Solar_heat_rate
0,1.0761421319796953,0.0,0.3333333333333333
1,1.0761421319796953,0.0,0.6666666666666666
2,1.0761421319796953,0.0,1.0
3,1.0761421319796953,0.0,1.3333333333333333
4,1.0761421319796953,0.0,1.6666666666666667
5,1.0761421319796953,1.0,0.3333333333333333
6,1.0761421319796953,1.0,0.6666666666666666
7,1.0761421319796953,1.0,1.0
8,1.0761421319796953,1.0,1.3333333333333333
9,1.0761421319796953,1.0,1.6666666666666667
10,1.0761421319796953,2.0,0.3333333333333333
11,1.0761421319796953,2.0,0.6666666666666666
12,1.0761421319796953,2.0,1.0
13,1.0761421319796953,2.0,1.3333333333333333
14,1.0761421319796953,2.0,1.6666666666666667
15,1.0253807106598984,0.0,0.3333333333333333
16,1.0253807106598984,0.0,0.6666666666666666
17,1.0253807106598984,0.0,1.0
18,1.0253807106598984,0.0,1.3333333333333333
19,1.0253807106598984,0.0,1.6666666666666667
20,1.0253807106598984,1.0,0.3333333333333333
21,1.0253807106598984,1.0,0.6666666666666666
22,1.0253807106598984,1.0,1.0
23,1.0253807106598984,1.0,1.3333333333333333
24,1.0253807106598984,1.0,1.6666666666666667
25,1.0253807106598984,2.0,0.3333333333333333
26,1.0253807106598984,2.0,0.6666666666666666
27,1.0253807106598984,2.0,1.0
28,1.0253807106598984,2.0,1.3333333333333333
29,1.0253807106598984,2.0,1.6666666666666667
30,0.9746192893401016,0.0,0.3333333333333333
31,0.9746192893401016,0.0,0.6666666666666666
32,0.9746192893401016,0.0,1.0
33,0.9746192893401016,0.0,1.3333333333333333
34,0.9746192893401016,0.0,1.6666666666666667
35,0.9746192893401016,1.0,0.3333333333333333
36,0.9746192893401016,1.0,0.6666666666666666
37,0.9746192893401016,1.0,1.0
38,0.9746192893401016,1.0,1.3333333333333333
39,0.9746192893401016,1.0,1.6666666666666667
40,0.9746192893401016,2.0,0.3333333333333333
41,0.9746192893401016,2.0,0.6666666666666666
42,0.9746192893401016,2.0,1.0
43,0.9746192893401016,2.0,1.3333333333333333
44,0.9746192893401016,2.0,1.6666666666666667
45,0.9069373942470389,0.0,0.3333333333333333
46,0.9069373942470389,0.0,0.6666666666666666
47,0.9069373942470389,0.0,1.0
48,0.9069373942470389,0.0,1.3333333333333333
49,0.9069373942470389,0.0,1.6666666666666667
50,0.9069373942470389,1.0,0.3333333333333333
51,0.9069373942470389,1.0,0.6666666666666666
52,0.9069373942470389,1.0,1.0
53,0.9069373942470389,1.0,1.3333333333333333
54,0.9069373942470389,1.0,1.6666666666666667
55,0.9069373942470389,2.0,0.3333333333333333
56,0.9069373942470389,2.0,0.6666666666666666
57,0.9069373942470389,2.0,1.0
58,0.9069373942470389,2.0,1.3333333333333333
59,0.9069373942470389,2.0,1.6666666666666667
